"","id","date","hour","value","valid","unit","station_id","station_name","station_code","parametro"
"1","263TMP22010100","2022-01-01",0,15.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"2","263TMP22010101","2022-01-01",1,14.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"3","263TMP22010102","2022-01-01",2,13.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"4","263TMP22010103","2022-01-01",3,13.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"5","263TMP22010104","2022-01-01",4,12.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"6","263TMP22010105","2022-01-01",5,12.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"7","263TMP22010106","2022-01-01",6,11.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"8","263TMP22010107","2022-01-01",7,11.5,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"9","263TMP22010108","2022-01-01",8,11.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"10","263TMP22010109","2022-01-01",9,12.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"11","263TMP22010110","2022-01-01",10,14,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"12","263TMP22010111","2022-01-01",11,16.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"13","263TMP22010112","2022-01-01",12,18.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"14","263TMP22010113","2022-01-01",13,19.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"15","263TMP22010114","2022-01-01",14,21.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"16","263TMP22010115","2022-01-01",15,22.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"17","263TMP22010116","2022-01-01",16,23.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"18","263TMP22010117","2022-01-01",17,23.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"19","263TMP22010118","2022-01-01",18,23.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"20","263TMP22010119","2022-01-01",19,21.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"21","263TMP22010120","2022-01-01",20,19.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"22","263TMP22010121","2022-01-01",21,18.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"23","263TMP22010122","2022-01-01",22,17.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"24","263TMP22010123","2022-01-01",23,16.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"25","263TMP22010200","2022-01-02",0,15.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"26","263TMP22010201","2022-01-02",1,14.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"27","263TMP22010202","2022-01-02",2,14,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"28","263TMP22010203","2022-01-02",3,13.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"29","263TMP22010204","2022-01-02",4,12.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"30","263TMP22010205","2022-01-02",5,12.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"31","263TMP22010206","2022-01-02",6,11.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"32","263TMP22010207","2022-01-02",7,11.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"33","263TMP22010208","2022-01-02",8,11.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"34","263TMP22010209","2022-01-02",9,12.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"35","263TMP22010210","2022-01-02",10,14.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"36","263TMP22010211","2022-01-02",11,17.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"37","263TMP22010212","2022-01-02",12,19.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"38","263TMP22010213","2022-01-02",13,20.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"39","263TMP22010214","2022-01-02",14,21.8,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"40","263TMP22010215","2022-01-02",15,22.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"41","263TMP22010216","2022-01-02",16,23.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"42","263TMP22010217","2022-01-02",17,23.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"43","263TMP22010218","2022-01-02",18,20.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"44","263TMP22010219","2022-01-02",19,17.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"45","263TMP22010220","2022-01-02",20,15.5,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"46","263TMP22010221","2022-01-02",21,13.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"47","263TMP22010222","2022-01-02",22,12.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"48","263TMP22010223","2022-01-02",23,11.8,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"49","263TMP22010300","2022-01-03",0,11.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"50","263TMP22010301","2022-01-03",1,10.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"51","263TMP22010302","2022-01-03",2,10.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"52","263TMP22010303","2022-01-03",3,10.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"53","263TMP22010304","2022-01-03",4,10.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"54","263TMP22010305","2022-01-03",5,10.8,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"55","263TMP22010306","2022-01-03",6,10.8,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"56","263TMP22010307","2022-01-03",7,10.5,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"57","263TMP22010308","2022-01-03",8,10.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"58","263TMP22010309","2022-01-03",9,11,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"59","263TMP22010310","2022-01-03",10,11.5,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"60","263TMP22010311","2022-01-03",11,12.5,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"61","263TMP22010312","2022-01-03",12,14.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"62","263TMP22010313","2022-01-03",13,16.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"63","263TMP22010314","2022-01-03",14,17.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"64","263TMP22010315","2022-01-03",15,19.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"65","263TMP22010316","2022-01-03",16,20,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"66","263TMP22010317","2022-01-03",17,20.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"67","263TMP22010318","2022-01-03",18,20.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"68","263TMP22010319","2022-01-03",19,18.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"69","263TMP22010320","2022-01-03",20,17.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"70","263TMP22010321","2022-01-03",21,15.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"71","263TMP22010322","2022-01-03",22,15.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"72","263TMP22010323","2022-01-03",23,14.8,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"73","263TMP22010400","2022-01-04",0,14.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"74","263TMP22010401","2022-01-04",1,13.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"75","263TMP22010402","2022-01-04",2,13.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"76","263TMP22010403","2022-01-04",3,12.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"77","263TMP22010404","2022-01-04",4,12.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"78","263TMP22010405","2022-01-04",5,11.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"79","263TMP22010406","2022-01-04",6,11.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"80","263TMP22010407","2022-01-04",7,10.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"81","263TMP22010408","2022-01-04",8,11,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"82","263TMP22010409","2022-01-04",9,12.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"83","263TMP22010410","2022-01-04",10,14,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"84","263TMP22010411","2022-01-04",11,16.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"85","263TMP22010412","2022-01-04",12,18.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"86","263TMP22010413","2022-01-04",13,20.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"87","263TMP22010414","2022-01-04",14,21.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"88","263TMP22010415","2022-01-04",15,22.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"89","263TMP22010416","2022-01-04",16,23.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"90","263TMP22010417","2022-01-04",17,23.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"91","263TMP22010418","2022-01-04",18,23.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"92","263TMP22010419","2022-01-04",19,21.8,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"93","263TMP22010420","2022-01-04",20,19.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"94","263TMP22010421","2022-01-04",21,18.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"95","263TMP22010422","2022-01-04",22,16.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"96","263TMP22010423","2022-01-04",23,16.5,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"97","263TMP22010500","2022-01-05",0,16.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"98","263TMP22010501","2022-01-05",1,14.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"99","263TMP22010502","2022-01-05",2,14.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"100","263TMP22010503","2022-01-05",3,13.5,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"101","263TMP22010504","2022-01-05",4,12.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"102","263TMP22010505","2022-01-05",5,12.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"103","263TMP22010506","2022-01-05",6,11.8,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"104","263TMP22010507","2022-01-05",7,11.5,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"105","263TMP22010508","2022-01-05",8,11.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"106","263TMP22010509","2022-01-05",9,12.7,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"107","263TMP22010510","2022-01-05",10,14.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"108","263TMP22010511","2022-01-05",11,17.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"109","263TMP22010512","2022-01-05",12,20,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"110","263TMP22010513","2022-01-05",13,21.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"111","263TMP22010514","2022-01-05",14,23,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"112","263TMP22010515","2022-01-05",15,23.8,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"113","263TMP22010516","2022-01-05",16,23.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"114","263TMP22010517","2022-01-05",17,23.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"115","263TMP22010518","2022-01-05",18,23.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"116","263TMP22010519","2022-01-05",19,22.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"117","263TMP22010520","2022-01-05",20,20.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"118","263TMP22010521","2022-01-05",21,18.8,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"119","263TMP22010522","2022-01-05",22,18.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"120","263TMP22010523","2022-01-05",23,17.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"121","263TMP22010600","2022-01-06",0,16.5,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"122","263TMP22010601","2022-01-06",1,15.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"123","263TMP22010602","2022-01-06",2,14.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"124","263TMP22010603","2022-01-06",3,14.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"125","263TMP22010604","2022-01-06",4,13.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"126","263TMP22010605","2022-01-06",5,13.5,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"127","263TMP22010606","2022-01-06",6,12.8,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"128","263TMP22010607","2022-01-06",7,12.5,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"129","263TMP22010608","2022-01-06",8,12.5,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"130","263TMP22010609","2022-01-06",9,13.8,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"131","263TMP22010610","2022-01-06",10,15.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"132","263TMP22010611","2022-01-06",11,18.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"133","263TMP22010612","2022-01-06",12,20.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"134","263TMP22010613","2022-01-06",13,21.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"135","263TMP22010614","2022-01-06",14,23,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"136","263TMP22010615","2022-01-06",15,23.5,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"137","263TMP22010616","2022-01-06",16,22.8,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"138","263TMP22010617","2022-01-06",17,22.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"139","263TMP22010618","2022-01-06",18,21.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"140","263TMP22010619","2022-01-06",19,18.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"141","263TMP22010620","2022-01-06",20,15.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"142","263TMP22010621","2022-01-06",21,16.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"143","263TMP22010622","2022-01-06",22,16.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"144","263TMP22010623","2022-01-06",23,15.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"145","263TMP22010700","2022-01-07",0,14.9,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"146","263TMP22010701","2022-01-07",1,14.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"147","263TMP22010702","2022-01-07",2,14,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"148","263TMP22010703","2022-01-07",3,13.5,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"149","263TMP22010704","2022-01-07",4,12.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"150","263TMP22010705","2022-01-07",5,12.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"151","263TMP22010706","2022-01-07",6,12.4,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"152","263TMP22010707","2022-01-07",7,12.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"153","263TMP22010708","2022-01-07",8,12.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"154","263TMP22010709","2022-01-07",9,12.8,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"155","263TMP22010710","2022-01-07",10,14.6,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"156","263TMP22010711","2022-01-07",11,16.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"157","263TMP22010712","2022-01-07",12,18.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"158","263TMP22010713","2022-01-07",13,18.3,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"159","263TMP22010714","2022-01-07",14,21.1,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
"160","263TMP22010715","2022-01-07",15,21.2,1,"°C",263,"Miguel Hidalgo","MGH","TMP"
